MLS#,LATITUDE,LONGITUDE,SOLD DATE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
9143121,41.929704,-87.644165,5/12/16,628 W WRIGHTWOOD Ave Unit 1W,Chicago,IL,60614,394000,2,2,Lincoln Park,1600,1996,940,246,323
9160868,41.8645524,-87.6236878,5/13/16,100 E 14th St #802,CHICAGO,IL,60605,545000,2,2,Near South Side,1358,2008,939,401,541
9119303,41.9057211,-87.6805724,5/13/16,2117 W Evergreen Ave Unit 1NE,CHICAGO,IL,60622,343000,2,2,West Town,1600,1997,939,214,250
9175182,41.976913,-87.839781,5/13/16,8511 W Catherine Ave #387,CHICAGO,IL,60656,100000,2,1,O'Hare,950,1977,939,105,235
9133638,41.8990906,-87.6189522,5/16/16,880 N LAKE SHORE Dr Unit 5H,CHICAGO,IL,60611,193900,1,1,Near North Side,740,1951,936,262,1050
9163202,41.9193001,-87.6432753,5/16/16,2045 N LARRABEE St #7202,CHICAGO,IL,60614,317000,2,1,Lincoln Park,,1971,936,,292
9209621,42.0109238,-87.6959353,5/18/16,2623 W Fitch Ave Unit 2E,CHICAGO,IL,60645,70000,1,1,West Ridge,,1957,934,,272
9155069,41.9229889,-87.7017805,5/19/16,2949 W Belden Ave #4,CHICAGO,IL,60647,364000,2,1.5,Logan Square,1600,,933,228,259
9192380,41.9313477,-87.7737582,5/19/16,5900 W DIVERSEY Ave Unit 1S,CHICAGO,IL,60639,73000,2,1,Belmont Cragin,900,1972,933,81,159
9159572,41.9351088,-87.639729,5/20/16,2930 N SHERIDAN Rd #1611,CHICAGO,IL,60657,229000,1,1,Lake View,,1958,932,,314
9188365,41.9139751,-87.7064538,5/20/16,1801 N KEDZIE Ave #101,Chicago,IL,60647,313000,2,2,Logan Square,1400,2003,932,224,245
9134506,41.957854,-87.728916,5/20/16,4215 N Keystone Ave Unit 1C,CHICAGO,IL,60641,105000,2,1,Irving Park,1188,1969,932,88,300
9155501,41.9320735,-87.6428128,5/23/16,2754 N Hampden Ct #406,CHICAGO,IL,60614,242500,1,1,Lincoln Park,800,1973,929,303,353
9196172,41.8814007,-87.652498,5/23/16,1001 W Madison St #309,CHICAGO,IL,60607,477522,2,2,Near West Side,,2001,929,,411
9205580,41.9636727,-87.7613419,5/23/16,5340 W WINDSOR Ave Unit 2J,CHICAGO,IL,60630,145000,2,2,Portage Park,1100,1974,929,132,293
8998434,42.0212482,-87.667001,5/24/16,1410 W JONQUIL Ter #1,CHICAGO,IL,60626,73000,1,1,Rogers Park,,1921,928,,231
9180517,41.8984268,-87.6432804,5/25/16,845 N Kingsbury St #304,CHICAGO,IL,60610,300000,1,1,Near North Side,909,2007,927,330,485
9177951,41.911037,-87.6941949,5/25/16,1623 N WASHTENAW Ave #3,CHICAGO,IL,60647,450000,2,2,West Town,1200,2014,927,375,243
9160170,41.9673183,-87.6549612,5/25/16,1000 W Leland Ave W Unit 4F,Chicago,IL,60640,195500,2,1,Uptown,,2004,927,,310
9194456,41.8849566,-87.6466672,5/26/16,720 W RANDOLPH St #502,CHICAGO,IL,60661,318000,1,1.5,Near West Side,850,2003,926,374,316
9194076,41.9464987,-87.6856513,5/27/16,3557 N OAKLEY Ave #1,CHICAGO,IL,60618,145000,1,1,North Center,,1920,925,,269
9167615,41.8765326,-87.6347559,5/27/16,235 W Van Buren St #3605,CHICAGO,IL,60607,372000,2,2,Loop,1018,2009,925,365,352
9121267,41.943424,-87.685129,5/27/16,2242 W ROSCOE St #2,CHICAGO,IL,60618,391000,2,2,North Center,1300,2005,925,301,199
9157636,41.967391,-87.818864,5/27/16,7650 W Lawrence Ave #212,NORRIDGE,IL,60706,165500,2,1.5,Norridge,1031,1979,925,161,220
9119165,41.9605184,-87.7840137,5/27/16,6252 W Montrose Ave W Unit 2S,CHICAGO,IL,60634,115000,2,1,Portage Park,950,1957,925,121,200
9197960,41.9857881,-87.6578343,5/30/16,1060 W Hollywood Ave #305,CHICAGO,IL,60660,80764,1,1,Edgewater,800,1972,922,101,228
9208750,41.9375793,-87.6459542,5/31/16,643 W Barry Ave Unit 1D,CHICAGO,IL,60657,219900,1,1,Lake View,,1974,921,,197
9007191,41.9037674,-87.6253709,5/31/16,1150 N Lake Shore Dr Unit 7C,Chicago,IL,60611,259000,1,1,Near North Side,850,1957,921,305,723
9190724,41.7747567,-87.7814869,5/31/16,6401 W 64th Pl Unit 3W,CHICAGO,IL,60638,90000,2,2,Clearing,891,1984,921,101,165
9203539,41.8799167,-87.6417716,6/3/16,125 S JEFFERSON St #2909,CHICAGO,IL,60661,333000,1,1.5,Near West Side,1051,2003,918,317,534
9158972,41.9061903,-87.626278,6/3/16,1313 N Ritchie Ct #506,CHICAGO,IL,60610,187225,1,1,Near North Side,,1978,918,,366
9188835,41.9287099,-87.6754271,6/3/16,2614 N Clybourn Ave #115,Chicago,IL,60614,267000,1,1.5,Lincoln Park,1205,,918,222,387
9179035,41.8922831,-87.6214257,6/6/16,211 E Ohio St #908,CHICAGO,IL,60611,255000,1,1,Near North Side,900,1984,915,283,527
9167900,41.9088618,-87.6417976,6/6/16,1445 N Mohawk St #1,CHICAGO,IL,60610,380000,2,2,Near North Side,,1886,915,,85
